microbe_id	MiMeDB_id	microbe	is_pathogenic	microbe_activity	compound	class
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	Sodium dehydrocholate	Steroids and steroid derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	Prolylhydroxyproline	Carboxylic acids and derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	PC(16:0/18:2(9Z,12Z))	Glycerophospholipids
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	PC(18:0/20:3(5Z,8Z,11Z))	Glycerophospholipids
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))	Glycerophospholipids
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	PE(16:0/18:2(9Z,12Z))	Glycerophospholipids
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	Cytidine 2',3'-cyclic phosphate	Carboxylic acids and derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	4-Hydroxybenzaldehyde	Organooxygen compounds
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	Methyl-4-hydroxybenzoate sulfate	Organic sulfuric acids and derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	UDP-D-glucose	Pyrimidine nucleotides
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	N10-Formyl-THF	Pteridines and derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	3-phospho-D-glyceroyl phosphate	Organic phosphoric acids and derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	1-Pyrroline-2-carboxylic acid	Pyrrolines
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	Pyrroline hydroxycarboxylic acid	Carboxylic acids and derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	1-Pyrroline-5-carboxylic acid	Carboxylic acids and derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	2',3'-Cyclic UMP	Pyrimidine nucleotides
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	SAICAR	Imidazole ribonucleosides and ribonucleotides
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	Ciliatine	Organic phosphonic acids and derivatives
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	Deoxyribose 1-phosphate	Organooxygen compounds
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	Deoxyribose 5-phosphate	Organooxygen compounds
644283	MMDBm0000002	Micromonospora aurantiaca ATCC 27029	True	Production (export)	ortho-Hydroxyphenylacetic acid	Benzene and substituted derivatives
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		PC(18:0/20:3(5Z,8Z,11Z))	Glycerophospholipids
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))	Glycerophospholipids
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		Guanosine 2',3'-cyclic phosphate	Purine nucleotides
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		Cytidine 2',3'-cyclic phosphate	Carboxylic acids and derivatives
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		4-Hydroxybenzaldehyde	Organooxygen compounds
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		Methyl-4-hydroxybenzoate sulfate	Organic sulfuric acids and derivatives
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		UDP-D-glucose	Pyrimidine nucleotides
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		N10-Formyl-THF	Pteridines and derivatives
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		3-phospho-D-glyceroyl phosphate	Organic phosphoric acids and derivatives
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		1-Pyrroline-5-carboxylic acid	Carboxylic acids and derivatives
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		2,3-Diphosphoglyceric acid	Organooxygen compounds
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		SAICAR	Imidazole ribonucleosides and ribonucleotides
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		Deoxyribose 1-phosphate	Organooxygen compounds
591001	MMDBm0000003	Acidaminococcus fermentans DSM 20731	True		Deoxyribose 5-phosphate	Organooxygen compounds
