MiMeID	microbe	Host	Body site	Biospecimen	Details	Data source
MMDBm0000002	644283	Human	gut	Feces	Unknown	VMH
MMDBm0000003	591001	Pig	gut	Feces	Unknown	VMH
MMDBm0000003	591001	Human	gut	Feces	Unknown	VMH
MMDBm0000006	470	Human				Human Oral Microbiome Database (HOMD)
MMDBm0000007	1217689	Human	gut	Feces	Unknown	VMH
MMDBm0000007	1217689	Human	gut	Feces	Unknown	VMH
MMDBm0000007	1217689	Human	Lower respiratory tract	Sputum		BacDive
MMDBm0000007	1217689	Human	Lower respiratory tract	Sputum		BacDive
MMDBm0000008	1217674	Human	gut	Feces	Unknown	VMH
MMDBm0000009	1384484	Human	gut	Feces	Unknown	VMH
MMDBm0000012	1050720	Human	gut	Feces	Unknown	VMH
MMDBm0000014	239935	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000018	679935	Human	gut	Feces	Unknown	VMH
MMDBm0000018	679935	Human	gut	Feces	Unknown	VMH
MMDBm0000018	679935	Human	Appendix	Appendix biopsy		BacDive
MMDBm0000018	679935	Human	Appendix	Appendix biopsy		BacDive
MMDBm0000019	717959	Human	gut	Feces	Unknown	VMH
MMDBm0000019	717959	Human	gut	Feces	Unknown	VMH
MMDBm0000019	717959	Human	Appendix	Appendix biopsy		BacDive
MMDBm0000019	717959	Human	Appendix	Appendix biopsy		BacDive
MMDBm0000020	525919	Human	gut	Feces	Unknown	VMH
MMDBm0000020	525919	Human	gut	Feces	Unknown	VMH
MMDBm0000022	649756	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000023	367737	Human	gut	Feces	Unknown	VMH
MMDBm0000023	367737	Human	gut	Feces	Unknown	VMH
MMDBm0000026	405534	Human	gut	Feces	Unknown	VMH
MMDBm0000026	405534	Human	gut	Feces	Unknown	VMH
MMDBm0000030	398511	Human	gut	Feces	Unknown	VMH
MMDBm0000031	1423	Human				Human Oral Microbiome Database (HOMD)
MMDBm0000036	47678	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000038	246787	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000040	357276	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000042	28111	Human	Gut	Feces	Expected but not quantified	
MMDBm0000043	817	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000049	28116	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000052	46506	Human	Large intestine	Feces		BacDive
MMDBm0000056	821	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000061	1681	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000062	1680	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000065	302911	Human	Gut	Feces		GutFeeling KnowledgeBase
MMDBm0000074	216816	Human				Human Oral Microbiome Database (HOMD)
MMDBm0000074	216816	Human				Human Oral Microbiome Database (HOMD)
