mRNA	0.027 h-1	0.044 h-1	0.102 h-1	0.152 h-1	0.214 h-1	0.254 h-1	0.284 h-1	0.334 h-1	0.379 h-1	Accessions
R0010W	74.4431245644533	76.4332945891819	48.4583526065725	49.5498584507283	54.3716087113289	54.6876351803636	64.3714271267998	32.9189481715668	41.3887783999395	P03870
YLR155C	37.8446204041809	36.3321610851631	35.0915328622826	31.0965573857844	29.0667244805589	26.8187752749931	29.5927914313851	23.0290325658867	22.4318833785783	P0CZ17
YLR159W	7.22387637802223	6.01615856224414	7.01401173920378	5.54286121276918	4.80011098220025	3.93408897716232	4.48513465640627	3.74315134936215	2.59646898723335	P0CE97
YHR056C	18.6468204981604	14.038290433294	14.1586586672355	14.7481751616417	15.3658707955737	13.5348692820521	13.6710228322973	14.3098813512087	13.9788571591201	P38781
R0030W	209.821451067573	223.130455637054	128.572630291662	122.79799903202	134.245756709993	119.268917959092	116.934733177867	37.1331089833251	49.1368676646265	Q06891
YAL062W	30.1894639251021	16.7665471404232	9.00304112816781	7.81230812074403	9.91047157222149	10.0867122653667	9.50841872370929	4.13663705674655	2.86959577493482	J8QFR9
YAL061W	14.8432815625353	16.3380641147047	18.6853475474958	14.5741950494964	9.89291852455057	5.71949098750562	4.83179590941447	3.68435898321154	2.86357069184366	P39713
YAL060W	28.3129872184598	28.3377527681365	25.5510902529948	26.4456446711634	32.7698703609831	40.5725179939003	38.9291209640206	31.9504757873161	30.8948547148596	J6EBK1
YAL059W	10.2884032071023	9.49729951877472	10.2311463250939	10.7308202780889	9.75410974504051	10.3162909741354	9.89533112774847	9.4513804192506	12.4508208957153	J4TTU5
YAL058W	5.0372151904838	4.73443853807436	5.19343380697485	5.28589713439411	5.25747154131061	5.23812509365345	5.30067799820849	5.2347422596386	5.57498727872046	J5RJ35
YAL056W	5.84973321712204	5.95515677471899	6.49574751700885	5.7506123948962	5.31765013415097	4.55400546643659	4.19694924061674	5.21158010112709	4.98365697073598	J6EDM0
YAL055W	11.170325574053	11.6387391325244	9.68936624722988	8.54441854468708	6.58737009498722	5.51873707633701	6.35752827738202	6.11916148122335	5.4248576232368	J5PA84
YAL054C	85.5912765617327	81.0534440953865	64.6928322848879	49.2558256090471	40.2668273401364	25.2309304974935	19.055020588281	2.25803347523232	1.59921462740545	J6EBK9
YAL053W	12.8470784065647	14.6930444156954	18.6295826433267	17.1294320412267	12.8216279924337	10.9918997063077	11.3294693630743	9.60144400939594	9.15384429920071	J4TTV2
YAL051W	4.4131673006199	4.19826925528898	4.03022198952317	3.75119517787529	3.9374640058502	3.47408470282382	3.37884952772281	4.0066749588896	3.94009107165529	P39720
YAL049C	26.6674208839003	25.0115651281052	19.2627188321931	17.4724185320727	14.9158825669216	14.4596742405944	14.9698129522326	13.8966648615271	13.6846185524813	J5RJL5
YAL048C	4.32168400956224	4.13709564700288	4.58747419604496	4.04943606693834	3.72230737128043	3.83901262455318	3.63451894068646	3.58890661768836	3.43105909132634	P39722
YAL047C	3.67122450515412	3.47639688298023	3.09212701186444	3.23851582460525	2.86618294844343	3.19147131020513	3.3370481948524	2.96598514569696	2.85844887576969	P39723
YAL046C	16.0958206225342	15.0129473818946	16.0269804189638	16.3264199847141	18.522554931271	18.8784488228293	19.1801803699376	18.366991697341	16.8931409048029	J6EEV8
YAL044W-A	28.3157547627089	27.7113558025739	22.9908095355347	21.730114008421	19.1569413139753	18.9567357111428	19.6657182419507	15.1826842607254	14.0478466612879	A0A1B2JE78
